tool_name,execute_function,schema_properties,exec_args,alignment,windows_safe
home_upsert_profile,execute_home_upsert_profile,address|year_built|square_feet|hvac_type|hvac_filter_size|water_heater_type|roof_type|id,address|hvac_filter_size|hvac_type|id|roof_type|square_feet|water_heater_type|year_built,OK,yes
kitchen_add_ingredient,execute_kitchen_add_ingredient,meal_id|meal_name|name|quantity|unit|estimated_cost|category|is_optional|notes,category|estimated_cost|is_optional|meal_id|meal_name|name|notes|quantity|unit,OK,yes
kitchen_add_inventory,execute_kitchen_add_inventory,name|quantity|unit|location|expiry_date,expiry_date|location|name|quantity|unit,OK,yes
kitchen_add_meal,execute_kitchen_add_meal,name|category|cuisine|instructions|prep_time_min|cook_time_min,category|cook_time_min|cuisine|instructions|name|prep_time_min,OK,yes
kitchen_add_to_plan,execute_kitchen_add_to_plan,meal_name|week_start|day_of_week|meal_slot,day_of_week|meal_name|meal_slot|week_start,OK,yes
kitchen_clear_week_plan,execute_kitchen_clear_week_plan,week_start,week_start,OK,yes
kitchen_delete_meal,execute_kitchen_delete_meal,id|name,id|name,OK,yes
kitchen_generate_grocery,execute_kitchen_generate_grocery,week_start,week_start,OK,yes
kitchen_get_cooking_steps,execute_kitchen_get_cooking_steps,meal_id|meal_name,meal_id|meal_name,OK,yes
kitchen_get_grocery,execute_kitchen_get_grocery,week_start,week_start,OK,yes
kitchen_get_inventory,execute_kitchen_get_inventory,location,location,OK,yes
kitchen_get_meal,execute_kitchen_get_meal,id|name,id|name,OK,yes
kitchen_get_meal_photos,execute_kitchen_get_meal_photos,meal_id,meal_id,OK,yes
kitchen_get_plan,execute_kitchen_get_plan,week_start,week_start,OK,yes
kitchen_list_meals,execute_kitchen_list_meals,category|cuisine|favorites_only,category|cuisine|favorites_only,OK,yes
kitchen_pantry_heatmap,execute_kitchen_pantry_heatmap,,,NO_SCHEMA,yes
kitchen_toggle_favorite,execute_kitchen_toggle_favorite,id|name,id|name,OK,yes
kitchen_toggle_grocery,execute_kitchen_toggle_grocery,id,id,OK,yes
life_add_daily_focus,execute_life_add_daily_focus,task_id|position,position|task_id,OK,yes
life_add_habit,execute_life_add_habit,name|category|frequency|target_count,category|frequency|name|target_count,OK,yes
life_add_reminder,execute_life_add_reminder,title|description|due_date|priority,description|due_date|priority|title,OK,yes
life_add_task,execute_life_add_task,title|category|priority|due_date|energy_type,category|due_date|energy_type|priority|title,OK,yes
life_complete_task,execute_life_complete_task,task_id,task_id,OK,yes
life_decision_helper,execute_life_decision_helper,options,options,OK,yes
life_delete_task,execute_life_delete_task,task_id,task_id,OK,yes
life_dismiss_nudge,execute_life_dismiss_nudge,nudge_id,nudge_id,OK,yes
life_get_dashboard,execute_life_get_dashboard,,,NO_SCHEMA,yes
life_get_documents,execute_life_get_documents,doc_type,doc_type,OK,yes
life_get_habits,execute_life_get_habits,active_only,active_only,OK,yes
life_get_heatmap,execute_life_get_heatmap,,,NO_SCHEMA,yes
life_get_knowledge,execute_life_get_knowledge,category,category,OK,yes
life_get_reminders,execute_life_get_reminders,days,days,OK,yes
life_list_tasks,execute_life_list_tasks,status,status,OK,yes
life_log_habit,execute_life_log_habit,habit_id,habit_id,OK,yes
life_morning_brief,execute_life_morning_brief,,,NO_SCHEMA,yes
life_parse_input,execute_life_parse_input,input,input,OK,yes
life_smart_reschedule,execute_life_smart_reschedule,task_id,task_id,OK,yes
memory_read,execute_memory_read,,,NO_SCHEMA,yes
memory_write,execute_memory_write,,,NO_SCHEMA,yes
notify,execute_notify,,body|title,NO_SCHEMA,yes
time,execute_time,,,NO_SCHEMA,yes
ui_action,execute_ui_action,,action|value|widget,NO_SCHEMA,yes
vault_add_file_to_project,execute_vault_add_file_to_project,project_id|file_id|role,file_id|project_id|role,OK,yes
vault_create_project,execute_vault_create_project,name|description|project_type,description|name|project_type,OK,yes
vault_delete_file,execute_vault_delete_file,id,id,OK,yes
vault_delete_project,execute_vault_delete_project,id,id,OK,yes
vault_get_favorites,execute_vault_get_favorites,,,NO_SCHEMA,yes
vault_get_file,execute_vault_get_file,id,id,OK,yes
vault_get_project_detail,execute_vault_get_project_detail,project_id,project_id,OK,yes
vault_get_projects,execute_vault_get_projects,,,NO_SCHEMA,yes
vault_get_recent,execute_vault_get_recent,limit,limit,OK,yes
vault_get_stats,execute_vault_get_stats,,,NO_SCHEMA,yes
vault_get_tags,execute_vault_get_tags,,,NO_SCHEMA,yes
vault_list_files,execute_vault_list_files,file_type|limit,file_type|limit,OK,yes
vault_remove_file_from_project,execute_vault_remove_file_from_project,project_id|file_id,file_id|project_id,OK,yes
vault_scan_directory,execute_vault_scan_directory,dir_path,dir_path,OK,yes
vault_search_files,execute_vault_search_files,query,query,OK,yes
vault_tag_file,execute_vault_tag_file,file_id|tag_name,file_id|tag_name,OK,yes
vault_toggle_favorite,execute_vault_toggle_favorite,id,id,OK,yes
vault_untag_file,execute_vault_untag_file,file_id|tag_id,file_id|tag_id,OK,yes
web_fetch,execute_web_fetch,url,url,OK,yes
web_post,execute_web_post,,body|headers|url,NO_SCHEMA,yes
